-39: Binary = , Hexadecimal = 
-14: Binary = , Hexadecimal = 
20: Binary = 10100, Hexadecimal = 14
30: Binary = 11110, Hexadecimal = 1E
12: Binary = 1100, Hexadecimal = C
-36: Binary = , Hexadecimal = 
-47: Binary = , Hexadecimal = 
-27: Binary = , Hexadecimal = 
-3: Binary = , Hexadecimal = 
6: Binary = 110, Hexadecimal = 6
36: Binary = 100100, Hexadecimal = 24
9: Binary = 1001, Hexadecimal = 9
-16: Binary = , Hexadecimal = 
36: Binary = 100100, Hexadecimal = 24
-27: Binary = , Hexadecimal = 
7: Binary = 111, Hexadecimal = 7
-6: Binary = , Hexadecimal = 
-5: Binary = , Hexadecimal = 
5: Binary = 101, Hexadecimal = 5
47: Binary = 101111, Hexadecimal = 2F
23: Binary = 10111, Hexadecimal = 17
-48: Binary = , Hexadecimal = 
-24: Binary = , Hexadecimal = 
40: Binary = 101000, Hexadecimal = 28
-4: Binary = , Hexadecimal = 
-18: Binary = , Hexadecimal = 
-19: Binary = , Hexadecimal = 
14: Binary = 1110, Hexadecimal = E
15: Binary = 1111, Hexadecimal = F
1: Binary = 1, Hexadecimal = 1
24: Binary = 11000, Hexadecimal = 18
-9: Binary = , Hexadecimal = 
-50: Binary = , Hexadecimal = 
18: Binary = 10010, Hexadecimal = 12
15: Binary = 1111, Hexadecimal = F
30: Binary = 11110, Hexadecimal = 1E
44: Binary = 101100, Hexadecimal = 2C
9: Binary = 1001, Hexadecimal = 9
19: Binary = 10011, Hexadecimal = 13
33: Binary = 100001, Hexadecimal = 21
41: Binary = 101001, Hexadecimal = 29
-24: Binary = , Hexadecimal = 
43: Binary = 101011, Hexadecimal = 2B
48: Binary = 110000, Hexadecimal = 30
-23: Binary = , Hexadecimal = 
7: Binary = 111, Hexadecimal = 7
28: Binary = 11100, Hexadecimal = 1C
8: Binary = 1000, Hexadecimal = 8
-2: Binary = , Hexadecimal = 
37: Binary = 100101, Hexadecimal = 25
42: Binary = 101010, Hexadecimal = 2A
-17: Binary = , Hexadecimal = 
-6: Binary = , Hexadecimal = 
36: Binary = 100100, Hexadecimal = 24
22: Binary = 10110, Hexadecimal = 16
27: Binary = 11011, Hexadecimal = 1B
31: Binary = 11111, Hexadecimal = 1F
-47: Binary = , Hexadecimal = 
-43: Binary = , Hexadecimal = 
0: Binary = 0, Hexadecimal = 0
27: Binary = 11011, Hexadecimal = 1B
30: Binary = 11110, Hexadecimal = 1E
12: Binary = 1100, Hexadecimal = C
-15: Binary = , Hexadecimal = 
-19: Binary = , Hexadecimal = 
-42: Binary = , Hexadecimal = 
-37: Binary = , Hexadecimal = 
31: Binary = 11111, Hexadecimal = 1F
-10: Binary = , Hexadecimal = 
18: Binary = 10010, Hexadecimal = 12
33: Binary = 100001, Hexadecimal = 21
-15: Binary = , Hexadecimal = 
17: Binary = 10001, Hexadecimal = 11
25: Binary = 11001, Hexadecimal = 19
-25: Binary = , Hexadecimal = 
-5: Binary = , Hexadecimal = 
33: Binary = 100001, Hexadecimal = 21
-13: Binary = , Hexadecimal = 
33: Binary = 100001, Hexadecimal = 21
-10: Binary = , Hexadecimal = 
47: Binary = 101111, Hexadecimal = 2F
47: Binary = 101111, Hexadecimal = 2F
-13: Binary = , Hexadecimal = 
-32: Binary = , Hexadecimal = 
1: Binary = 1, Hexadecimal = 1
1: Binary = 1, Hexadecimal = 1
-25: Binary = , Hexadecimal = 
-33: Binary = , Hexadecimal = 
16: Binary = 10000, Hexadecimal = 10
17: Binary = 10001, Hexadecimal = 11
4: Binary = 100, Hexadecimal = 4
Time elapsed: 0.0032455921173095703 seconds
